---SIMILARITIES VIDEO URL <-> IP BETWEEN DIFFERENT VANTAGE POINTS---
https://youtu.be/05HuTGeF5AA
                              ID                           Url                                                IP      VantagePoint
963   2020-10-28 06:13:41.325449  https://youtu.be/2rcKpY-4QBI  [173.194.187.42, 74.125.13.133]  ip-172-31-43-135
1012  2020-10-29 12:14:05.657471  https://youtu.be/2rcKpY-4QBI  [173.194.187.42, 74.125.13.133]  ip-172-31-43-135
1061  2020-10-29 18:14:10.825840  https://youtu.be/2rcKpY-4QBI  [173.194.187.42, 74.125.13.133]  ip-172-31-43-135
1110  2020-10-30 00:13:33.465825  https://youtu.be/2rcKpY-4QBI  [173.194.187.42, 74.125.13.133]  ip-172-31-43-135
1159  2020-10-30 06:13:34.743441  https://youtu.be/2rcKpY-4QBI  [173.194.187.42, 74.125.13.133]  ip-172-31-43-135
1208  2020-10-27 12:18:43.128559  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1257  2020-10-27 18:17:38.805986  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1306  2020-10-28 00:15:17.630019  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1355  2020-10-28 06:14:16.434794  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1404  2020-10-29 12:14:02.229535  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1453  2020-10-29 18:13:39.594814  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1502  2020-10-30 00:14:47.642193  https://youtu.be/2rcKpY-4QBI  [173.194.154.106]                ip-172-31-13-30
1551  2020-10-30 06:14:24.299514  https://youtu.be/2rcKpY-4QBI  [173.194.52.10]                  ip-172-31-13-30
1599  2020-10-27 12:18:07.813647  https://youtu.be/2rcKpY-4QBI  [74.125.96.138]                  ip-172-31-4-22
1647  2020-10-27 18:15:51.702399  https://youtu.be/2rcKpY-4QBI  [74.125.96.138]                  ip-172-31-4-22
1694  2020-10-28 00:15:01.329475  https://youtu.be/2rcKpY-4QBI  [173.194.49.251]                 ip-172-31-4-22
1742  2020-10-28 06:14:36.785665  https://youtu.be/2rcKpY-4QBI  [74.125.96.138]                  ip-172-31-4-22
1790  2020-10-29 12:14:24.401735  https://youtu.be/2rcKpY-4QBI  [74.125.96.138]                  ip-172-31-4-22
1838  2020-10-29 18:14:45.910361  https://youtu.be/2rcKpY-4QBI  [74.125.96.138]                  ip-172-31-4-22
1886  2020-10-30 00:14:34.953335  https://youtu.be/2rcKpY-4QBI  [173.194.49.251]                 ip-172-31-4-22
1934  2020-10-30 06:13:57.670742  https://youtu.be/2rcKpY-4QBI  [173.194.49.251]                 ip-172-31-4-22


https://youtu.be/3YxLYPAoUYQ
                              ID                           Url                                  IP      VantagePoint
25    2020-10-27 12:12:47.814419  https://youtu.be/3YxLYPAoUYQ  [74.125.166.169]                    ip-172-31-14-163
74    2020-10-27 18:11:15.136251  https://youtu.be/3YxLYPAoUYQ  [74.125.166.169]                    ip-172-31-14-163
123   2020-10-28 00:11:31.454662  https://youtu.be/3YxLYPAoUYQ  [74.125.170.121, 74.125.170.169]    ip-172-31-14-163
172   2020-10-28 06:10:57.504992  https://youtu.be/3YxLYPAoUYQ  [74.125.170.121]                    ip-172-31-14-163
221   2020-10-29 12:11:25.190422  https://youtu.be/3YxLYPAoUYQ  [74.125.166.169]                    ip-172-31-14-163
270   2020-10-29 18:10:50.947110  https://youtu.be/3YxLYPAoUYQ  [74.125.170.121]                    ip-172-31-14-163
319   2020-10-30 00:10:27.223104  https://youtu.be/3YxLYPAoUYQ  [74.125.170.121]                    ip-172-31-14-163
368   2020-10-30 06:10:51.985800  https://youtu.be/3YxLYPAoUYQ  [74.125.166.169]                    ip-172-31-14-163
417   2020-10-27 12:12:20.586435  https://youtu.be/3YxLYPAoUYQ  [173.194.184.168, 172.217.129.72]   ip-172-31-85-175
466   2020-10-27 18:10:59.982951  https://youtu.be/3YxLYPAoUYQ  [74.125.155.249, 172.217.129.72]    ip-172-31-85-175
515   2020-10-28 00:11:10.530645  https://youtu.be/3YxLYPAoUYQ  [74.125.155.249]                    ip-172-31-85-175
564   2020-10-28 06:10:24.076492  https://youtu.be/3YxLYPAoUYQ  [173.194.184.168]                   ip-172-31-85-175
613   2020-10-29 12:10:46.066762  https://youtu.be/3YxLYPAoUYQ  [173.194.184.168]                   ip-172-31-85-175
662   2020-10-29 18:10:42.175763  https://youtu.be/3YxLYPAoUYQ  [173.194.184.168]                   ip-172-31-85-175
711   2020-10-30 00:10:12.634279  https://youtu.be/3YxLYPAoUYQ  [74.125.155.249]                    ip-172-31-85-175
760   2020-10-30 06:10:33.112942  https://youtu.be/3YxLYPAoUYQ  [173.194.184.168]                   ip-172-31-85-175
810   2020-10-27 12:12:57.392548  https://youtu.be/3YxLYPAoUYQ  [173.194.188.104, 173.194.151.105]  ip-172-31-43-135
859   2020-10-27 18:11:59.275271  https://youtu.be/3YxLYPAoUYQ  [173.194.188.104]                   ip-172-31-43-135
908   2020-10-28 00:11:17.114354  https://youtu.be/3YxLYPAoUYQ  [173.194.151.105]                   ip-172-31-43-135
